trip_id,date,dept_lat,dept_lon,arr_lat,arr_lon,vehicle_type,request_time,wait_time_min,trip_distance_km,est_time_min,actual_time_min,arr_time,fare_usd,surge_pricing,tip_usd,driver_rating,traffic_level,weather,estimated_CO2_g
1,2026-02-01,11.533592,104.875945,11.532852,104.872658,Rickshaw,06:39,7,5.09,17,30,07:09,2.33,1.0,1.32,5,Very High,Cloudy,392.27
2,2026-02-01,11.570388,104.868549,11.60951,104.965489,Remork,08:58,6,5.85,20,23,09:21,3.07,1.0,1.26,5,High,Clear,468.73
3,2026-02-01,11.530743,104.95859,11.602589,104.902785,Rickshaw,20:33,3,5.33,18,21,20:54,2.59,1.0,0.0,5,Medium,Clear,339.9
4,2026-02-01,11.553934,104.861142,11.540238,104.946489,Remork,08:40,9,2.45,8,11,08:51,1.74,1.3,0.58,5,Very High,Clear,204.04
5,2026-02-01,11.570571,104.888023,11.54601,104.9246,Remork,14:32,6,4.26,14,16,14:48,2.4,1.0,1.3,5,High,Cloudy,474.37
6,2026-02-01,11.60391,104.862974,11.582416,104.884069,Remork,07:59,8,7.74,26,30,08:29,4.91,1.2,0.0,4,Very High,Windy,781.79
7,2026-02-01,11.592107,104.930043,11.566266,104.85981,Rickshaw,14:16,4,7.8,26,27,14:43,4.33,1.2,1.21,5,Medium,Clear,547.46
8,2026-02-01,11.603975,104.854535,11.552052,104.944353,Rickshaw,06:36,5,7.63,25,34,07:10,4.53,1.5,0.0,5,High,Clear,497.56
9,2026-02-01,11.601587,104.963895,11.590485,104.932359,Remork,16:40,2,4.3,14,12,16:52,3.08,1.2,0.0,5,Low,Clear,506.63
10,2026-02-01,11.592688,104.863312,11.596639,104.900959,Rickshaw,10:31,5,6.59,22,21,10:52,2.78,1.0,0.0,5,Medium,Clear,329.87
11,2026-02-01,11.542415,104.920886,11.537665,104.964546,EV Car,20:07,2,5.43,18,16,20:23,4.37,1.2,1.4,4,Low,Clear,46.41
12,2026-02-01,11.574123,104.851669,11.545813,104.888178,Rickshaw,17:22,3,7.6,25,25,17:47,3.34,1.1,0.0,5,High,Cloudy,393.52
13,2026-02-01,11.603642,104.853955,11.526592,104.900581,EV Car,13:53,4,5.08,17,18,14:11,5.15,1.4,0.82,5,High,Clear,24.77
14,2026-02-01,11.567139,104.927399,11.511737,104.859622,Rickshaw,08:47,5,6.47,22,26,09:13,2.86,1.1,0.0,5,Medium,Windy,433.67
15,2026-02-01,11.561427,104.945662,11.583774,104.897619,Rickshaw,06:07,7,4.91,16,22,06:29,2.6,1.0,0.0,4,Very High,Windy,377.79
